# Constructed from biom file
#OTU ID	MN	MT	SM	TA	TC	TL
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bacteriovoracaceae	0.000965759438104	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__	1.7559262511e-05	0.000598448413017	2.08125208125e-05	0.000328127050794	0.0	0.000718700589334
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Spirobacillales;f__	0.0	0.0	0.0	0.0	0.0	0.000766613961957
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Sva0853;f__	0.0	0.0	0.000270562770563	0.000295314345715	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__	0.0	0.0	4.1625041625e-05	0.00140000875005	0.0	0.000543018223053
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae	0.339332748025	9.48759679173e-05	0.000104062604063	0.000776567353546	0.000330141961043	0.000271509111526
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__	0.0236874451273	6.56833624043e-05	0.000187312687313	0.118946055913	0.000679704037442	1.59711242074e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__	0.0	0.0	0.0	0.0	0.0	0.00116589206714
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae	0.00154521510097	0.0	0.00208125208125	0.000962506015663	0.0359272134076	0.000255537987319
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae	0.00609306409131	0.0	0.00338203463203	0.00148750929693	0.000718544268153	0.000255537987319
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Ferrimonadaceae	5.26777875329e-05	0.0	0.0	0.000404690029313	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae	5.26777875329e-05	0.0	0.0	0.000393752460953	3.8840230711e-05	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__	1.7559262511e-05	1.45963027565e-05	0.00024975024975	0.0045172157326	0.00200027188161	0.00062287384409
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Francisellaceae	0.0	0.0	0.0	0.0	0.000543763229954	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__	3.51185250219e-05	0.0	0.000603563103563	0.0	0.000543763229954	0.00234775525849
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Endozoicimonaceae	0.000825285338016	0.845498135322	0.935168997669	0.0207376296102	0.537937195347	0.16201108396
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae	0.0	0.0	6.24375624376e-05	0.000700004375027	3.8840230711e-05	0.00138948780605
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae	0.00932396839333	0.0	6.24375624376e-05	0.00229688935556	9.71005767774e-05	0.000127768993659
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	0.0	0.00427671670766	0.0	0.000864067900424	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	0.0	0.000554659504747	1.04062604063e-05	0.000185938662117	1.94201153555e-05	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae	0.0	0.0	0.0	0.0	0.0	0.00062287384409
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Pseudoalteromonadaceae	0.072783143108	0.000759007743339	0.0100108225108	0.253423458897	0.246421843746	0.000782585086164
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae	0.130043898156	0.000270031600995	0.0081376956377	0.253696898106	0.110655817296	0.00183667928385
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae	0.000245829675154	0.00821042030054	0.0031635031635	0.0199282495516	0.00374808226361	0.0677335377637
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__[Marinicellales];f__[Marinicellaceae]	1.7559262511e-05	0.0	0.0	0.00131250820318	0.0	0.0
k__Bacteria;p__SAR406;c__AB16;o__Arctic96B-7;f__A714017	0.0	0.0	0.0	0.00056875355471	7.76804614219e-05	0.000159711242074
k__Bacteria;p__TM6;c__SJA-4;o__;f__	0.0	0.0	0.0	0.000459377871112	0.0	0.000175682366282
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae	0.0	0.0	0.0	0.000317189482434	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Verruco-5;o__R76-B128;f__	0.0	0.0	0.0	0.0	0.0	0.000782585086164
