	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_3124_6.txt	3124	6	30.0	18.0	27.0	28.0	12.0	12.0
alpha_rarefaction_3124_7.txt	3124	7	33.0	17.0	25.0	26.0	13.0	16.0
alpha_rarefaction_3124_8.txt	3124	8	29.0	16.0	24.0	32.0	15.0	17.0
alpha_rarefaction_3124_9.txt	3124	9	35.0	14.0	38.0	27.0	12.0	16.0
alpha_rarefaction_3470_0.txt	3470	0	29.0	14.0	31.0	27.0	14.0	19.0
alpha_rarefaction_3470_1.txt	3470	1	21.0	16.0	24.0	27.0	14.0	20.0
alpha_rarefaction_3470_2.txt	3470	2	35.0	14.0	24.0	27.0	14.0	22.0
alpha_rarefaction_3470_3.txt	3470	3	28.0	14.0	27.0	28.0	14.0	15.0
alpha_rarefaction_3470_4.txt	3470	4	24.0	12.0	27.0	27.0	14.0	14.0
alpha_rarefaction_3470_5.txt	3470	5	27.0	14.0	34.0	27.0	14.0	19.0
alpha_rarefaction_3470_6.txt	3470	6	30.0	14.0	27.0	28.0	14.0	18.0
alpha_rarefaction_3470_7.txt	3470	7	25.0	13.0	34.0	27.0	14.0	16.0
alpha_rarefaction_3470_8.txt	3470	8	20.0	13.0	28.0	28.0	14.0	22.0
alpha_rarefaction_3470_9.txt	3470	9	22.0	10.0	31.0	27.0	14.0	23.0
