	sequences per sample	iteration	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
alpha_rarefaction_2374_8.txt	2374	8	7.80245	6.41862	7.82339	8.77997	6.24217	6.5395	4.05403	5.09808	5.55334	8.60512	6.98069	4.30848	5.03301	4.39053	5.17213	9.37939	2.48415	8.78463
alpha_rarefaction_2374_9.txt	2374	9	8.66126	6.39485	8.24876	9.13643	5.55036	6.44816	4.45252	4.66293	6.17674	8.5548	7.18028	3.47128	5.46661	4.66482	4.80775	8.22269	2.5564	8.84655
alpha_rarefaction_3162_0.txt	3162	0	8.78803	7.13956	8.13288	9.49215	6.21797	6.65206	4.94878	5.10739	6.87905	8.48412	7.58881	4.19906	5.32489	4.53711	5.32833	9.1154	2.70567	9.0889
alpha_rarefaction_3162_1.txt	3162	1	8.26478	7.19379	8.45464	9.07472	6.22881	6.54843	4.25635	5.07261	6.18714	8.86257	7.46431	4.57387	5.42927	4.47528	5.01928	9.17459	2.81525	9.11153
alpha_rarefaction_3162_2.txt	3162	2	8.80869	7.14762	8.16958	9.09162	6.24655	6.1237	3.86631	4.58367	6.10199	8.58643	7.05647	4.27585	5.54822	5.02131	5.1474	8.81248	2.92778	8.94991
alpha_rarefaction_3162_3.txt	3162	3	8.74002	7.50809	8.54812	9.29699	6.08209	6.57466	4.10511	5.15193	6.05812	8.65485	7.4818	4.3597	5.67681	4.72928	5.64204	8.98999	2.48053	9.08546
alpha_rarefaction_3162_4.txt	3162	4	8.13831	6.74892	8.38334	8.95295	6.43695	5.95425	4.3311	5.18274	6.38893	8.64547	7.09734	3.85166	5.35633	5.10988	5.84877	9.53022	2.03818	9.1289
alpha_rarefaction_3162_5.txt	3162	5	8.54292	7.11722	8.59905	9.28934	5.8691	6.54237	4.87517	5.38568	6.39983	8.54455	7.38874	4.08258	5.60491	4.74565	5.76949	9.15054	3.08708	9.07397
alpha_rarefaction_3162_6.txt	3162	6	8.14489	6.95212	8.82246	8.86417	6.23738	6.75426	4.5801	5.1771	6.51285	8.37584	7.20346	4.26916	5.42107	4.70848	5.65227	9.18065	2.694	9.24979
alpha_rarefaction_3162_7.txt	3162	7	7.88932	7.55629	8.59529	8.87829	6.59768	6.80645	4.24605	4.77847	6.42426	8.63222	7.08648	4.02647	5.44676	4.81719	5.05404	8.45022	2.96684	8.78582
alpha_rarefaction_3162_8.txt	3162	8	8.52142	6.70477	8.59868	9.57922	6.16383	6.81902	4.83754	4.65241	6.35456	8.61261	7.64606	4.18244	5.46857	4.63505	5.19051	9.47044	2.88013	8.99666
