	sequences per sample	iteration	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
alpha_rarefaction_3162_1.txt	3162	1	17.0	25.0	18.0	18.0	28.0	23.0	19.0	15.0	16.0	14.0	23.0	16.0	13.0	17.0	20.0	25.0	13.0	11.0
alpha_rarefaction_3162_2.txt	3162	2	27.0	15.0	23.0	18.0	25.0	30.0	11.0	7.0	17.0	17.0	16.0	14.0	16.0	20.0	22.0	21.0	9.0	11.0
alpha_rarefaction_3162_3.txt	3162	3	26.0	25.0	28.0	25.0	23.0	29.0	15.0	17.0	20.0	20.0	16.0	13.0	13.0	11.0	26.0	17.0	5.0	12.0
alpha_rarefaction_3162_4.txt	3162	4	25.0	21.0	19.0	23.0	29.0	16.0	18.0	19.0	17.0	15.0	15.0	14.0	11.0	14.0	25.0	26.0	8.0	10.0
alpha_rarefaction_3162_5.txt	3162	5	20.0	25.0	23.0	21.0	21.0	21.0	14.0	11.0	17.0	18.0	18.0	16.0	13.0	19.0	33.0	22.0	11.0	12.0
alpha_rarefaction_3162_6.txt	3162	6	24.0	20.0	17.0	17.0	21.0	23.0	16.0	18.0	14.0	14.0	23.0	16.0	11.0	16.0	26.0	21.0	8.0	15.0
alpha_rarefaction_3162_7.txt	3162	7	23.0	20.0	28.0	22.0	28.0	27.0	17.0	15.0	25.0	10.0	18.0	13.0	14.0	14.0	14.0	18.0	13.0	10.0
alpha_rarefaction_3162_8.txt	3162	8	25.0	17.0	24.0	31.0	23.0	27.0	16.0	9.0	15.0	14.0	20.0	20.0	13.0	19.0	26.0	20.0	10.0	14.0
alpha_rarefaction_3162_9.txt	3162	9	25.0	18.0	24.0	27.0	22.0	27.0	9.0	17.0	13.0	18.0	24.0	21.0	12.0	18.0	25.0	18.0	15.0	13.0
alpha_rarefaction_3950_0.txt	3950	0	27.0	23.0	19.0	20.0	21.0	16.0	20.0	16.0	15.0	14.0	22.0	12.0	15.0	18.0	24.0	15.0	7.0	8.0
alpha_rarefaction_3950_1.txt	3950	1	21.0	17.0	29.0	19.0	20.0	17.0	14.0	16.0	10.0	17.0	22.0	22.0	14.0	20.0	20.0	18.0	14.0	16.0
alpha_rarefaction_3950_2.txt	3950	2	24.0	14.0	20.0	22.0	25.0	21.0	13.0	19.0	16.0	20.0	19.0	17.0	13.0	16.0	25.0	22.0	13.0	10.0
alpha_rarefaction_3950_3.txt	3950	3	21.0	18.0	18.0	25.0	24.0	22.0	16.0	16.0	14.0	12.0	22.0	14.0	13.0	8.0	25.0	16.0	11.0	9.0
alpha_rarefaction_3950_4.txt	3950	4	33.0	13.0	23.0	29.0	23.0	20.0	10.0	21.0	16.0	21.0	15.0	17.0	14.0	18.0	22.0	20.0	13.0	15.0
alpha_rarefaction_3950_5.txt	3950	5	22.0	21.0	21.0	20.0	24.0	25.0	20.0	13.0	20.0	16.0	19.0	21.0	16.0	19.0	23.0	23.0	8.0	14.0
alpha_rarefaction_3950_6.txt	3950	6	27.0	24.0	22.0	19.0	20.0	16.0	15.0	16.0	15.0	20.0	24.0	18.0	11.0	17.0	21.0	21.0	11.0	15.0
alpha_rarefaction_3950_7.txt	3950	7	27.0	20.0	19.0	21.0	32.0	21.0	13.0	19.0	11.0	20.0	15.0	9.0	13.0	16.0	23.0	19.0	12.0	17.0
alpha_rarefaction_3950_8.txt	3950	8	25.0	20.0	16.0	23.0	22.0	16.0	14.0	20.0	18.0	15.0	22.0	16.0	13.0	17.0	26.0	18.0	9.0	15.0
alpha_rarefaction_3950_9.txt	3950	9	18.0	13.0	15.0	31.0	30.0	19.0	16.0	16.0	10.0	22.0	27.0	16.0	11.0	15.0	21.0	26.0	12.0	16.0
alpha_rarefaction_4738_0.txt	4738	0	23.0	18.0	15.0	23.0	27.0	16.0	18.0	16.0	15.0	10.0	16.0	15.0	13.0	17.0	26.0	20.0	12.0	11.0
alpha_rarefaction_4738_1.txt	4738	1	21.0	22.0	21.0	25.0	16.0	21.0	12.0	20.0	16.0	18.0	19.0	13.0	8.0	21.0	26.0	25.0	9.0	12.0
alpha_rarefaction_4738_2.txt	4738	2	19.0	22.0	21.0	23.0	27.0	23.0	13.0	18.0	18.0	11.0	17.0	16.0	10.0	27.0	28.0	15.0	11.0	10.0
