	sequences per sample	iteration	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
alpha_rarefaction_798_3.txt	798	3	85.0909090909	62.4285714286	107.230769231	106.0	80.1	89.0714285714	30.625	55.5	65.6153846154	87.0	81.0769230769	21.5	56.375	46.1111111111	59.4285714286	83.0	31.0	74.5
alpha_rarefaction_798_4.txt	798	4	152.666666667	57.5625	93.1176470588	113.5	82.1	112.75	26.25	60.9090909091	70.4615384615	74.5714285714	80.0	56.3333333333	53.6666666667	62.3333333333	43.75	84.1538461538	36.0	71.5
alpha_rarefaction_798_5.txt	798	5	74.4	83.625	89.7142857143	101.214285714	100.363636364	87.0909090909	43.3333333333	66.5714285714	74.0	87.375	74.0909090909	47.0	79.0	48.5	49.1666666667	73.1538461538	17.5	79.6875
alpha_rarefaction_798_6.txt	798	6	93.2727272727	58.5	94.875	124.272727273	75.0	96.4285714286	34.4285714286	63.5	92.0	86.2727272727	85.6666666667	31.2	42.5	33.0	87.0	112.6	31.0	81.9090909091
alpha_rarefaction_798_7.txt	798	7	83.0909090909	68.1538461538	94.4285714286	113.176470588	111.142857143	102.368421053	37.0	67.1538461538	76.625	76.5714285714	70.25	36.75	84.0	28.6666666667	46.1111111111	88.0833333333	29.2	92.0
alpha_rarefaction_798_8.txt	798	8	103.1	64.6	99.0	104.0	75.1538461538	90.4615384615	31.1111111111	75.0	99.0	78.6	66.6875	31.2	57.0	43.0	62.3333333333	66.8	23.0	69.0
alpha_rarefaction_798_9.txt	798	9	82.7692307692	69.375	138.0	85.1764705882	71.0	97.0769230769	90.0	58.0555555556	60.2142857143	75.3333333333	61.0	41.5	58.0	35.5	74.0	75.4	28.0	87.5
alpha_rarefaction_1586_0.txt	1586	0	88.9090909091	96.0833333333	107.25	137.75	106.5	104.0	38.8571428571	74.375	78.1538461538	107.6	79.7727272727	37.875	51.0	47.4285714286	103.75	126.857142857	54.0	100.375
alpha_rarefaction_1586_1.txt	1586	1	145.666666667	78.875	101.4375	108.352941176	87.0	96.875	47.1666666667	62.9285714286	87.1111111111	92.3333333333	105.833333333	46.6666666667	68.0	45.4285714286	74.75	101.0	36.0	106.230769231
alpha_rarefaction_1586_2.txt	1586	2	96.1578947368	90.6666666667	95.6666666667	120.0	103.0	128.909090909	45.2	68.0	87.6666666667	87.5714285714	94.4	49.5	67.6666666667	77.0	93.2	106.666666667	25.5	87.0
alpha_rarefaction_1586_3.txt	1586	3	101.235294118	87.4285714286	97.25	113.25	125.0	135.714285714	45.0	72.2727272727	84.0833333333	107.0	81.4375	42.4285714286	66.5	48.75	56.0	102.333333333	27.6666666667	89.1
alpha_rarefaction_1586_4.txt	1586	4	104.076923077	97.0	113.666666667	110.0	104.142857143	109.647058824	40.1111111111	85.125	74.4285714286	91.0	110.25	50.0	67.3333333333	57.5	54.1666666667	118.5	25.25	87.0
alpha_rarefaction_1586_5.txt	1586	5	93.1764705882	86.4615384615	118.083333333	113.636363636	86.125	124.909090909	62.2	82.0	64.5	86.0769230769	89.4	45.0	62.0	69.2	100.0	98.8333333333	35.0	115.0
alpha_rarefaction_1586_6.txt	1586	6	129.0	71.2307692308	101.866666667	119.647058824	98.6	80.3529411765	41.1111111111	80.3333333333	67.5714285714	83.1	98.5454545455	41.8571428571	67.0	63.0	45.8571428571	156.5	25.5	103.111111111
alpha_rarefaction_1586_7.txt	1586	7	129.111111111	88.4	97.1818181818	120.25	112.0	115.0	49.6666666667	90.75	66.5714285714	115.0	75.1578947368	47.0	76.0	68.4285714286	123.0	108.0	25.0	85.0
