# Constructed from biom file
#OTU ID	bottom	surface
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae	0.000724637681159	0.00507246376812
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae	0.0144927536232	0.00797101449275
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae	0.0	0.00144927536232
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae	0.0	0.000724637681159
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14;f__	0.0	0.00144927536232
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae	0.0123188405797	0.0123188405797
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__	0.00144927536232	0.00507246376812
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Conexibacteraceae	0.000724637681159	0.000724637681159
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Patulibacteraceae	0.00289855072464	0.000724637681159
k__Bacteria;p__Bacteroidetes;c__;o__;f__	0.00434782608696	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__	0.00434782608696	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	0.00144927536232	0.0
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales];f__[Balneolaceae]	0.0601449275362	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae	0.0115942028986	0.0101449275362
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolinaceae	0.00144927536232	0.000724637681159
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__CFB-26;f__	0.00507246376812	0.000724637681159
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__GCA004;f__	0.0188405797101	0.0
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Thermogemmatisporales;f__Thermogemmatisporaceae	0.0	0.0036231884058
k__Bacteria;p__Chloroflexi;c__P2-11E;o__;f__	0.0	0.000724637681159
k__Bacteria;p__Chloroflexi;c__TK10;o__B07_WMSP1;f__	0.000724637681159	0.00579710144928
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__FAC88;f__	0.00144927536232	0.000724637681159
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__	0.00144927536232	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae	0.0	0.00144927536232
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	0.00507246376812	0.00652173913043
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__;f__	0.0	0.00797101449275
