	sequences per sample	iteration	TL3	T2	TL2	TL1	TS8	MT209	T9	T1	MN13	MN12	MN15	SM2	MT213	TS4	SM4	MT210	SM5	TS6
alpha_rarefaction_5126_0.txt	5126	0	9.29753	8.93238	8.66886	7.75986	6.96129	5.88974	9.75693	8.92719	7.16076	8.71742	7.23688	5.06002	6.01383	7.9704	7.77441	4.78057	2.88225	5.90409
alpha_rarefaction_5126_1.txt	5126	1	9.4061	9.41006	9.22682	7.81164	7.33915	6.29972	9.32006	9.18661	6.84128	8.10366	7.11108	5.44642	6.45989	7.7673	7.19421	4.40503	3.94796	6.16177
alpha_rarefaction_5126_2.txt	5126	2	9.30055	10.0674	9.84367	8.50706	6.27171	6.15947	9.3957	9.0846	7.28539	8.51023	6.66647	4.62593	5.70331	7.26307	8.03917	3.5501	3.33953	5.41845
alpha_rarefaction_5126_3.txt	5126	3	9.04918	9.93129	8.73616	7.91711	6.90158	6.36477	10.3226	9.83024	8.19224	8.38157	7.24764	5.08335	6.10074	7.7462	7.57462	3.84335	3.25809	5.29266
alpha_rarefaction_5126_4.txt	5126	4	9.56006	9.73996	8.73659	7.89598	7.38378	6.3995	9.45928	8.72811	6.77115	7.60955	6.98085	5.87177	5.79913	7.63502	7.72168	4.03088	3.86598	5.41492
alpha_rarefaction_5126_5.txt	5126	5	9.13304	9.69581	9.2374	7.96139	6.51428	5.96752	9.1006	9.42925	7.38752	8.01816	6.73808	5.63814	6.66301	7.45829	8.18752	4.43866	3.72019	6.06531
alpha_rarefaction_5126_6.txt	5126	6	9.27288	9.02989	9.63718	7.79239	6.0787	6.47299	9.74654	8.91811	6.68337	8.02954	6.96275	4.85459	6.36322	7.36862	7.72552	4.4318	3.30423	5.13571
alpha_rarefaction_5126_7.txt	5126	7	9.43589	9.47517	9.22736	7.55824	6.67295	5.80038	9.15114	8.99327	7.48628	8.3242	6.61282	5.43865	6.58477	7.24705	8.5983	4.31652	3.35346	5.60766
alpha_rarefaction_5126_8.txt	5126	8	8.96157	9.04111	8.39163	7.8166	6.30972	5.90708	9.63081	8.62089	7.62934	8.22311	6.36203	5.69744	6.28923	7.1548	7.7907	3.50203	3.34036	6.07754
alpha_rarefaction_5126_9.txt	5126	9	9.59161	10.01073	9.46175	7.92331	7.53868	6.10166	9.76844	9.81408	6.937	8.00427	6.59716	5.35496	5.42869	7.30652	8.20545	4.44858	2.52708	6.92852
alpha_rarefaction_6405_0.txt	6405	0	9.0886	9.5322	9.75117	8.02557	7.49048	6.22344	10.25347	9.16706	7.62764	8.42344	7.16378	5.16413	6.37679	7.66944	8.34829	4.59528	3.81723	6.32619
alpha_rarefaction_6405_1.txt	6405	1	9.37426	9.20413	8.79033	8.63321	6.73132	5.87851	8.97683	9.14035	8.53472	8.53422	6.82097	5.22826	6.47247	7.84533	8.42162	4.36206	3.25726	6.08021
alpha_rarefaction_6405_2.txt	6405	2	9.59769	9.22441	10.23088	7.88319	7.71818	6.24229	9.35341	9.04544	6.89467	9.04484	7.0731	4.7967	6.29784	7.84053	8.1343	4.9001	3.01671	5.66282
alpha_rarefaction_6405_3.txt	6405	3	9.0866	10.18192	9.69895	8.65678	7.23726	5.84322	9.26648	8.97246	8.47848	8.66063	7.92554	5.4046	6.45135	7.43138	8.29359	4.46441	3.93543	5.00544
alpha_rarefaction_6405_4.txt	6405	4	9.29184	10.04753	9.21741	8.04313	7.90012	6.44524	9.81052	9.33649	7.97749	8.71127	7.69501	5.34287	5.76618	7.47668	8.08751	4.59735	3.57562	6.7362
alpha_rarefaction_6405_5.txt	6405	5	9.0701	9.22683	9.51228	8.04188	7.64934	6.24201	9.55174	9.82873	7.43042	8.26228	7.62408	5.61115	5.81028	7.39445	8.77464	4.77432	3.62978	7.17856
