	sequences per sample	iteration	TL3	T2	TL2	TL1	TS8	MT209	T9	T1	MN13	MN12	MN15	SM2	MT213	TS4	SM4	MT210	SM5	TS6
alpha_rarefaction_1289_6.txt	1289	6	24.0	39.0	21.0	20.0	28.0	14.0	33.0	25.0	25.0	30.0	22.0	10.0	22.0	29.0	19.0	14.0	10.0	17.0
alpha_rarefaction_1289_7.txt	1289	7	31.0	31.0	22.0	17.0	19.0	21.0	28.0	36.0	27.0	27.0	25.0	12.0	18.0	31.0	23.0	8.0	11.0	16.0
alpha_rarefaction_1289_8.txt	1289	8	18.0	22.0	24.0	21.0	20.0	18.0	36.0	36.0	26.0	33.0	24.0	10.0	18.0	32.0	16.0	9.0	7.0	10.0
alpha_rarefaction_1289_9.txt	1289	9	17.0	27.0	23.0	18.0	20.0	11.0	43.0	31.0	28.0	41.0	33.0	17.0	21.0	34.0	24.0	4.0	9.0	12.0
alpha_rarefaction_2568_0.txt	2568	0	20.0	21.0	26.0	18.0	23.0	15.0	28.0	34.0	29.0	34.0	24.0	15.0	11.0	28.0	17.0	17.0	5.0	17.0
alpha_rarefaction_2568_1.txt	2568	1	19.0	32.0	21.0	23.0	27.0	14.0	29.0	25.0	26.0	41.0	25.0	18.0	10.0	27.0	33.0	15.0	9.0	25.0
alpha_rarefaction_2568_2.txt	2568	2	14.0	37.0	24.0	15.0	19.0	13.0	32.0	25.0	32.0	31.0	31.0	13.0	15.0	32.0	24.0	14.0	10.0	22.0
alpha_rarefaction_2568_3.txt	2568	3	23.0	24.0	24.0	19.0	36.0	23.0	33.0	25.0	27.0	25.0	29.0	16.0	17.0	33.0	30.0	9.0	9.0	24.0
alpha_rarefaction_2568_4.txt	2568	4	14.0	34.0	14.0	15.0	33.0	14.0	39.0	30.0	25.0	31.0	31.0	18.0	20.0	33.0	20.0	18.0	9.0	18.0
alpha_rarefaction_2568_5.txt	2568	5	14.0	31.0	28.0	11.0	25.0	19.0	42.0	36.0	28.0	43.0	25.0	10.0	12.0	30.0	24.0	11.0	12.0	27.0
alpha_rarefaction_2568_6.txt	2568	6	19.0	29.0	28.0	20.0	33.0	14.0	27.0	33.0	32.0	27.0	31.0	10.0	18.0	25.0	23.0	10.0	14.0	28.0
alpha_rarefaction_2568_7.txt	2568	7	24.0	23.0	16.0	19.0	24.0	12.0	36.0	27.0	25.0	29.0	28.0	15.0	15.0	34.0	25.0	11.0	9.0	20.0
