	sequences per sample	iteration	TL3	T2	TL2	TL1	TS8	MT209	T9	T1	MN13	MN12	MN15	SM2	MT213	TS4	SM4	MT210	SM5	TS6
alpha_rarefaction_7684_7.txt	7684	7	11.0	15.0	17.0	11.0	15.0	5.0	20.0	18.0	9.0	16.0	15.0	8.0	5.0	20.0	11.0	3.0	5.0	11.0
alpha_rarefaction_7684_8.txt	7684	8	6.0	8.0	10.0	10.0	17.0	8.0	24.0	8.0	14.0	15.0	10.0	7.0	4.0	19.0	16.0	4.0	5.0	13.0
alpha_rarefaction_7684_9.txt	7684	9	8.0	10.0	13.0	7.0	20.0	5.0	22.0	18.0	7.0	17.0	15.0	8.0	6.0	13.0	12.0	10.0	3.0	8.0
alpha_rarefaction_8963_0.txt	8963	0	8.0	8.0	13.0	8.0	16.0	6.0	21.0	10.0	16.0	21.0	13.0	9.0	4.0	15.0	13.0	8.0	3.0	10.0
alpha_rarefaction_8963_1.txt	8963	1	12.0	14.0	9.0	9.0	16.0	5.0	19.0	12.0	15.0	15.0	16.0	8.0	8.0	21.0	18.0	7.0	6.0	17.0
alpha_rarefaction_8963_2.txt	8963	2	6.0	12.0	8.0	10.0	14.0	6.0	19.0	13.0	13.0	11.0	16.0	13.0	8.0	13.0	11.0	8.0	6.0	10.0
alpha_rarefaction_8963_3.txt	8963	3	9.0	17.0	9.0	10.0	16.0	10.0	20.0	17.0	15.0	16.0	17.0	10.0	5.0	16.0	8.0	7.0	3.0	13.0
alpha_rarefaction_8963_4.txt	8963	4	9.0	14.0	13.0	7.0	20.0	12.0	11.0	7.0	13.0	16.0	17.0	12.0	9.0	22.0	19.0	9.0	6.0	10.0
alpha_rarefaction_8963_5.txt	8963	5	7.0	7.0	8.0	5.0	9.0	8.0	15.0	9.0	12.0	15.0	14.0	6.0	8.0	14.0	12.0	10.0	5.0	13.0
alpha_rarefaction_8963_6.txt	8963	6	12.0	15.0	7.0	12.0	12.0	10.0	21.0	9.0	11.0	15.0	15.0	13.0	13.0	14.0	8.0	11.0	4.0	9.0
alpha_rarefaction_8963_7.txt	8963	7	11.0	11.0	13.0	12.0	11.0	4.0	22.0	13.0	11.0	16.0	15.0	13.0	7.0	15.0	16.0	8.0	4.0	8.0
alpha_rarefaction_8963_8.txt	8963	8	10.0	17.0	11.0	6.0	16.0	7.0	19.0	15.0	15.0	21.0	16.0	11.0	8.0	11.0	14.0	9.0	5.0	16.0
alpha_rarefaction_8963_9.txt	8963	9	12.0	12.0	10.0	9.0	15.0	4.0	17.0	12.0	14.0	20.0	13.0	4.0	7.0	22.0	10.0	13.0	3.0	9.0
alpha_rarefaction_10242_0.txt	10242	0	11.0	12.0	13.0	11.0	15.0	13.0	15.0	13.0	13.0	20.0	21.0	10.0	6.0	19.0	11.0	10.0	7.0	13.0
alpha_rarefaction_10242_1.txt	10242	1	8.0	9.0	10.0	12.0	15.0	8.0	14.0	8.0	9.0	17.0	13.0	9.0	7.0	15.0	12.0	7.0	2.0	16.0
alpha_rarefaction_10242_2.txt	10242	2	9.0	11.0	13.0	11.0	18.0	6.0	15.0	9.0	14.0	17.0	19.0	7.0	6.0	20.0	13.0	4.0	6.0	10.0
alpha_rarefaction_10242_3.txt	10242	3	11.0	11.0	7.0	13.0	12.0	7.0	19.0	8.0	13.0	15.0	16.0	9.0	3.0	22.0	12.0	6.0	2.0	12.0
alpha_rarefaction_10242_4.txt	10242	4	10.0	12.0	8.0	8.0	19.0	8.0	23.0	14.0	7.0	16.0	18.0	7.0	8.0	15.0	13.0	5.0	5.0	16.0
alpha_rarefaction_10242_5.txt	10242	5	9.0	10.0	7.0	11.0	14.0	8.0	15.0	8.0	19.0	20.0	15.0	9.0	6.0	14.0	12.0	10.0	3.0	17.0
alpha_rarefaction_10242_6.txt	10242	6	8.0	7.0	12.0	6.0	17.0	11.0	16.0	14.0	11.0	17.0	14.0	12.0	8.0	24.0	11.0	6.0	6.0	16.0
alpha_rarefaction_10242_7.txt	10242	7	13.0	14.0	8.0	5.0	19.0	7.0	14.0	12.0	18.0	15.0	15.0	8.0	5.0	20.0	16.0	7.0	0.0	14.0
alpha_rarefaction_10242_8.txt	10242	8	11.0	13.0	8.0	3.0	18.0	10.0	22.0	4.0	15.0	15.0	7.0	7.0	5.0	15.0	13.0	9.0	3.0	10.0
alpha_rarefaction_10242_9.txt	10242	9	14.0	10.0	6.0	6.0	16.0	7.0	18.0	9.0	14.0	16.0	14.0	9.0	10.0	18.0	14.0	9.0	6.0	10.0
alpha_rarefaction_11521_0.txt	11521	0	8.0	14.0	7.0	7.0	19.0	9.0	12.0	10.0	11.0	19.0	10.0	8.0	5.0	12.0	14.0	10.0	4.0	15.0
alpha_rarefaction_11521_1.txt	11521	1	12.0	9.0	9.0	10.0	19.0	6.0	14.0	13.0	15.0	25.0	13.0	16.0	7.0	17.0	13.0	10.0	4.0	16.0
alpha_rarefaction_11521_2.txt	11521	2	7.0	8.0	9.0	11.0	18.0	8.0	19.0	8.0	10.0	20.0	11.0	4.0	11.0	18.0	13.0	5.0	7.0	8.0
alpha_rarefaction_11521_3.txt	11521	3	10.0	6.0	8.0	12.0	16.0	5.0	19.0	6.0	12.0	10.0	17.0	12.0	6.0	20.0	16.0	8.0	1.0	16.0
alpha_rarefaction_11521_4.txt	11521	4	11.0	11.0	12.0	1.0	20.0	4.0	19.0	6.0	13.0	19.0	23.0	11.0	7.0	16.0	12.0	9.0	4.0	10.0
alpha_rarefaction_11521_5.txt	11521	5	16.0	12.0	11.0	11.0	14.0	13.0	18.0	9.0	14.0	18.0	20.0	9.0	4.0	12.0	14.0	7.0	8.0	20.0
alpha_rarefaction_11521_6.txt	11521	6	12.0	11.0	9.0	12.0	18.0	9.0	19.0	4.0	11.0	18.0	13.0	10.0	7.0	21.0	15.0	8.0	5.0	14.0
alpha_rarefaction_11521_7.txt	11521	7	12.0	12.0	6.0	8.0	18.0	7.0	14.0	9.0	12.0	21.0	22.0	10.0	10.0	14.0	12.0	7.0	6.0	15.0
alpha_rarefaction_11521_8.txt	11521	8	11.0	11.0	7.0	7.0	20.0	4.0	18.0	10.0	9.0	18.0	18.0	9.0	3.0	26.0	17.0	7.0	4.0	12.0
alpha_rarefaction_11521_9.txt	11521	9	11.0	11.0	7.0	13.0	18.0	6.0	18.0	16.0	20.0	22.0	13.0	13.0	7.0	13.0	16.0	6.0	5.0	10.0
