	sequences per sample	iteration	TL3	T2	TL2	TL1	TS8	MT209	T9	T1	MN13	MN12	MN15	SM2	MT213	TS4	SM4	MT210	SM5	TS6
alpha_rarefaction_10242_7.txt	10242	7	136.714285714	185.666666667	149.333333333	133.0	147.3	78.5	213.066666667	170.0	167.105263158	211.375	181.0	90.6666666667	102.0	153.285714286	129.117647059	82.75	271.0	133.666666667
alpha_rarefaction_10242_8.txt	10242	8	135.333333333	178.5	192.666666667	163.5	151.894736842	90.0909090909	182.043478261	188.0	188.9375	192.375	208.125	80.75	109.5	168.0625	125.071428571	68.0	62.0	113.909090909
alpha_rarefaction_10242_9.txt	10242	9	136.0	193.0	155.0	122.142857143	166.0	90.25	198.473684211	170.1	172.066666667	205.058823529	166.066666667	95.0	97.3636363636	155.105263158	115.2	60.8	42.4285714286	118.909090909
alpha_rarefaction_11521_0.txt	11521	0	135.333333333	195.866666667	157.875	131.0	160.4	91.6	216.769230769	172.0	175.75	198.75	186.272727273	111.0	99.1666666667	176.769230769	137.2	69.3636363636	48.2	125.0625
alpha_rarefaction_11521_1.txt	11521	1	135.0	200.1	168.5	119.272727273	149.9	105.857142857	205.666666667	173.571428571	179.1875	200.576923077	176.214285714	84.6470588235	101.0	164.555555556	173.214285714	66.9090909091	79.0	140.176470588
alpha_rarefaction_11521_2.txt	11521	2	143.125	194.333333333	148.0	118.5	167.157894737	92.6666666667	204.3	166.0	207.909090909	184.047619048	184.333333333	165.2	89.5	169.473684211	147.0	75.0	46.375	173.0
alpha_rarefaction_11521_3.txt	11521	3	138.363636364	188.428571429	142.0	121.0	162.058823529	82.5	197.9	180.0	200.076923077	218.0	178.333333333	74.7692307692	87.8571428571	154.714285714	132.647058824	69.1111111111	68.0	136.0
alpha_rarefaction_11521_4.txt	11521	4	137.75	184.75	158.0	145.0	157.619047619	97.2	196.3	165.142857143	190.571428571	214.5	162.625	85.0833333333	91.25	173.176470588	145.230769231	66.8	39.0	151.090909091
alpha_rarefaction_11521_5.txt	11521	5	133.176470588	186.769230769	143.833333333	117.5	183.4	88.9285714286	191.105263158	185.3	182.666666667	195.894736842	160.0	101.8	96.2	174.769230769	142.2	66.375	43.3333333333	114.333333333
alpha_rarefaction_11521_6.txt	11521	6	133.0	188.25	155.3	118.076923077	160.105263158	91.6	190.0	193.2	178.75	198.473684211	172.0	86.0909090909	98.125	156.954545455	128.75	62.6666666667	51.1666666667	109.4
alpha_rarefaction_11521_7.txt	11521	7	144.615384615	187.153846154	171.857142857	118.111111111	165.526315789	88.25	191.4	172.8	188.769230769	194.454545455	155.043478261	69.9090909091	92.2727272727	167.066666667	141.0	67.375	56.4285714286	145.3125
alpha_rarefaction_11521_8.txt	11521	8	145.833333333	190.833333333	154.25	132.0	159.142857143	106.0	200.473684211	163.272727273	224.0	216.052631579	155.315789474	89.3	96.5	149.37037037	134.055555556	73.0	55.0	125.230769231
alpha_rarefaction_11521_9.txt	11521	9	153.083333333	191.5	160.625	114.571428571	161.789473684	87.4285714286	192.526315789	169.588235294	173.333333333	189.260869565	175.214285714	83.0	107.125	191.571428571	163.176470588	61.4285714286	62.5	145.0
alpha_rarefaction_12800_0.txt	12800	0	159.875	207.5	228.5	123.428571429	164.789473684	92.0	187.352941176	181.375	205.0	239.0	151.6	115.5	86.5	167.714285714	168.75	65.2727272727	45.25	145.0
alpha_rarefaction_12800_1.txt	12800	1	145.4	191.0	182.25	117.5	164.789473684	92.4285714286	207.588235294	196.6	193.9375	227.6	166.0	70.6666666667	104.5	195.0	145.066666667	69.6666666667	64.25	144.6
alpha_rarefaction_12800_2.txt	12800	2	144.833333333	207.111111111	158.0	118.0	164.789473684	87.5	238.272727273	169.0	211.0	213.0625	170.75	160.0	110.857142857	168.894736842	154.833333333	74.0	58.0	138.4
alpha_rarefaction_12800_3.txt	12800	3	136.0	182.0	146.615384615	121.25	164.789473684	108.0	204.434782609	182.363636364	206.545454545	216.0	179.0	86.4615384615	105.0	168.25	143.083333333	79.6666666667	43.4285714286	128.176470588
alpha_rarefaction_12800_4.txt	12800	4	144.214285714	190.111111111	168.5	120.0	164.789473684	85.0	187.352941176	172.333333333	190.625	193.772727273	179.333333333	92.3	92.0909090909	166.714285714	158.25	74.4615384615	54.0	127.0
alpha_rarefaction_12800_5.txt	12800	5	144.909090909	181.571428571	156.875	115.6	164.789473684	81.1428571429	195.071428571	191.375	183.0625	201.882352941	157.315789474	86.7142857143	110.0	163.894736842	157.5	71.0	45.75	122.588235294
alpha_rarefaction_12800_6.txt	12800	6	143.3	190.615384615	153.5	117.5	164.789473684	94.0	195.789473684	194.6	175.0625	221.055555556	169.0	75.5	107.125	152.4375	149.071428571	69.1111111111	53.1428571429	123.25
alpha_rarefaction_12800_7.txt	12800	7	140.066666667	197.0	165.545454545	120.090909091	164.789473684	82.9090909091	190.4375	202.0	182.0625	214.0	160.647058824	83.4	86.0	163.333333333	165.5	79.0	49.6	134.2
alpha_rarefaction_12800_8.txt	12800	8	151.272727273	198.428571429	154.333333333	116.5	164.789473684	85.1111111111	190.833333333	178.125	189.176470588	227.0	167.0	90.4	99.2307692308	158.789473684	150.5	75.7692307692	58.0	132.166666667
alpha_rarefaction_12800_9.txt	12800	9	135.066666667	214.5	152.25	119.5	164.789473684	97.1111111111	194.4	181.5	188.375	223.058823529	168.083333333	96.2727272727	92.3333333333	187.0	148.25	60.5	48.6	152.0
