taxon	soils1_1	soils2_1	soils3_1	soils4_1
c__PBS-25_unclassified	1	2	0	4
f__kpj58rc_unclassified	1	0	1	0
o__GIF10_unclassified	0	0	0	1
o__HMMVPog-54_unclassified	0	0	10	0
p__PAUC34f_unclassified	0	0	2	0
c__028H05-P-BN-P5_unclassified	1	0	0	0
c__BD7-11_unclassified	0	0	1	3
c__C6_unclassified	0	0	0	2
o__MVS-107_unclassified	2	1	0	18
o__d113_unclassified	1	0	0	0
o__CL500-15_unclassified	4	3	0	8
o__agg27_unclassified	2	7	0	6
c__Phycisphaerae_unclassified	4	4	3	8
o__AKAU3564_unclassified	2	2	9	2
o__CPla-3_unclassified	0	1	0	0
o__MSBL9_unclassified	0	1	14	1
f__Phycisphaeraceae_unclassified	0	0	5	3
o__Phycisphaerales_unclassified	4	2	6	7
o__Pla1_unclassified	0	3	3	2
o__S-70_unclassified	1	1	1	6
o__SHUX583_unclassified	0	0	2	0
o__WD2101_unclassified	47	89	0	54
o__mle1-8_unclassified	2	2	0	4
c__Pla3_unclassified	1	0	0	2
c__Pla4_unclassified	8	5	0	0
c__Planctomycetia_unclassified	15	14	2	7
o__B97_unclassified	3	1	0	0
f__Gemmataceae_unclassified	156	126	0	20
g__Gemmata	23	14	0	9
f__Isosphaeraceae_unclassified	36	35	1	28
g__Nostocoida	3	3	0	0
o__Gemmatales_unclassified	26	12	0	3
f__Pirellulaceae_unclassified	12	9	4	19
g__A17	0	1	0	3
g__Pirellula	7	6	0	1
g__planctomycete	0	0	0	1
g__Planctomyces	9	6	12	24
o__DH61_unclassified	2	0	0	0
o__PeHg47_unclassified	0	0	4	0
o__p04_C01_unclassified	0	1	2	0
p__Planctomycetes_unclassified	5	7	5	7
c__Alphaproteobacteria_unclassified	130	133	55	346
o__BD7-3_unclassified	2	2	0	2
f__Caulobacteraceae_unclassified	8	6	1	2
g__Asticcacaulis	0	3	0	1
g__Brevundimonas	0	0	0	1
g__Caulobacter	0	1	0	0
g__Phenylobacterium	13	8	0	16
o__Ellin329_unclassified	33	24	0	59
g__Thalassospira	0	0	1	2
g__Kordiimonas	0	0	0	1
f__Aurantimonadaceae_unclassified	1	0	0	0
f__Beijerinckiaceae_unclassified	5	1	0	1
g__Chelatococcus	1	0	0	0
f__Bradyrhizobiaceae_unclassified	80	32	0	29
g__Afipia	3	1	0	3
g__Balneimonas	5	4	0	0
g__Blastobacter	2	0	0	0
g__Bradyrhizobium	23	8	0	9
g__Nitrobacter	1	0	0	0
f__Hyphomicrobiaceae_unclassified	11	3	1	23
g__Devosia	5	5	0	6
g__Hyphomicrobium	4	2	0	17
g__Parvibaculum	0	0	0	1
g__Pedomicrobium	14	5	0	3
g__Rhodomicrobium	2	2	0	1
g__Rhodoplanes	382	137	0	83
f__Methylobacteriaceae_unclassified	0	1	0	0
g__Methylobacterium	1	1	0	0
f__Methylocystaceae_unclassified	0	2	0	0
g__Methylosinus	0	1	0	14
g__Pleomorphomonas	0	0	0	2
g__Rhodoblastus	1	0	0	2
f__Phyllobacteriaceae_unclassified	0	0	1	3
g__Chelativorans	0	0	0	2
g__Mesorhizobium	3	1	0	1
f__Rhizobiaceae_unclassified	2	2	0	7
g__Agrobacterium	1	1	0	1
g__Rhizobium	6	0	0	1
g__Afifella	2	0	0	3
f__Xanthobacteraceae_unclassified	5	1	0	0
g__Labrys	1	5	0	0
g__Xanthobacter	0	1	0	0
o__Rhizobiales_unclassified	478	201	9	200
f__Hyphomonadaceae_unclassified	2	0	0	7
g__Henriciella	1	0	0	0
g__Woodsholea	1	2	0	5
f__Rhodobacteraceae_unclassified	7	0	59	51
g__Rhodobacter	1	0	0	1
o__Rhodobacterales_unclassified	0	0	1	4
f__Acetobacteraceae_unclassified	21	18	1	44
g__Acidisoma	1	0	0	0
g__Roseomonas	2	0	0	1
f__Rhodospirillaceae_unclassified	202	112	5	184
g__Azospirillum	0	2	0	0
g__Caenispirillum	0	0	1	2
g__Dongia	4	1	0	4
g__Magnetospirillum	0	0	0	4
g__Phaeospirillum	0	0	0	2
g__Reyranella	38	17	3	28
g__Rhodovibrio	0	0	4	1
g__Telmatospirillum	0	1	0	0
o__Rhodospirillales_unclassified	82	61	2	107
g__Rickettsia	0	1	0	0
f__mitochondria_unclassified	1	1	2	15
g__Acanthamoeba	0	0	0	1
o__Rickettsiales_unclassified	1	0	0	0
f__Erythrobacteraceae_unclassified	4	1	2	39
f__Sphingomonadaceae_unclassified	56	33	0	147
g__Kaistobacter	84	78	1	54
g__Novosphingobium	5	3	0	10
g__Sphingobium	2	0	0	0
g__Sphingomonas	5	5	0	9
o__Sphingomonadales_unclassified	4	5	1	25
c__Betaproteobacteria_unclassified	295	292	9	433
f__EB1003_unclassified	23	96	0	25
f__UD5_unclassified	6	1	0	0
f__Alcaligenaceae_unclassified	1	0	1	1
g__Pigmentiphaga	0	1	0	0
g__Burkholderia	16	8	1	9
g__Candidatus_Glomeribacter	0	1	0	0
f__Comamonadaceae_unclassified	64	86	1	48
g__Acidovorax	0	5	0	0
g__Aquincola	1	3	0	0
g__Azohydromonas	1	0	0	3
g__Brachymonas	0	0	0	1
g__Hydrogenophaga	0	0	0	1
g__Leptothrix	1	0	0	0
g__Methylibium	6	7	0	3
g__Pelomonas	0	2	0	1
g__Ramlibacter	7	4	0	3
g__Rubrivivax	1	0	0	1
g__Thiomonas	0	0	0	2
g__Xenophilus	1	0	0	0
f__Oxalobacteraceae_unclassified	5	13	0	3
g__Cupriavidus	8	2	0	1
g__Duganella	3	5	0	0
g__Massilia	2	6	0	1
g__Paucimonas	1	0	0	0
g__Ralstonia	1	0	0	0
o__Burkholderiales_unclassified	11	8	0	8
o__Ellin6067_unclassified	66	105	0	64
g__Gallionella	1	0	0	3
g__Thiobacillus	0	0	0	26
o__IS-44_unclassified	5	0	0	1
o__MND1_unclassified	216	263	0	136
g__Methylobacillus	0	0	0	1
g__Methylotenera	0	0	1	1
f__Neisseriaceae_unclassified	3	0	0	2
g__Chromobacterium	1	0	0	0
g__Deefgea	1	0	0	0
f__Nitrosomonadaceae_unclassified	1	0	0	1
g__Nitrosovibrio	1	0	0	0
f__Procabacteriaceae_unclassified	0	1	0	1
f__Rhodocyclaceae_unclassified	12	12	0	121
g__Azoarcus	2	0	0	0
g__C39	0	1	0	1
g__Dechloromonas	1	2	0	3
g__Dok59	2	3	0	12
g__Georgfuchsia	0	0	0	1
g__Methyloversatilis	0	0	0	1
g__Sterolibacterium	0	0	0	1
o__SBla14_unclassified	0	0	0	42
o__SC-I-84_unclassified	78	91	0	34
c__Deltaproteobacteria_unclassified	138	138	112	140
o__BPC076_unclassified	0	7	2	19
g__Bdellovibrio	11	7	1	18
f__Desulfarculaceae_unclassified	1	1	73	3
g__Desulfarculus	0	0	1	0
f__Desulfobacteraceae_unclassified	0	0	17	0
g__Desulfococcus	0	0	5	0
g__Desulfosalsimonas	0	0	355	1
f__Desulfobulbaceae_unclassified	1	0	4	5
g__Desulfobulbus	1	0	13	0
o__Desulfobacterales_unclassified	0	1	10	1
f__Desulfohalobiaceae_unclassified	0	1	10	0
g__Desulfovermiculus	0	0	47	0
g__Desulfovibrio	0	1	5	14
o__Desulfovibrionales_unclassified	0	0	15	0
g__Geobacter	34	12	1	140
f__Pelobacteraceae_unclassified	0	1	12	4
g__Desulfuromonas	0	0	5	5
o__Desulfuromonadales_unclassified	17	4	6	78
