taxonomy	S1_S1	S2_S3	S3_S5	S4_S7
f__Anaerolinaceae_unclassified	0	0	9	7
g__Anaerolinea_unclassified	1	13	1	20
g__C1_B004_unclassified	0	0	1	0
g__Longilinea_unclassified	0	1	0	0
g__T78_unclassified	1	0	10	0
o__CFB-26_unclassified	2	15	30	3
f__Caldilineaceae_unclassified	1	1	2	0
g__Caldilinea_unclassified	0	1	0	0
o__DRC31_unclassified	0	0	7	0
o__GCA004_unclassified	5	6	174	43
o__H39_unclassified	2	5	0	2
o__MSB-1E9_unclassified	0	0	2	0
o__OPB11_unclassified	1	0	78	0
o__S0208_unclassified	1	0	0	4
o__SB-34_unclassified	1	0	8	0
f__A4b_unclassified	10	2	0	19
f__SHA-31_unclassified	0	0	12	2
f__SJA-101_unclassified	0	0	12	3
f__oc28_unclassified	8	33	0	4
o__SBR1031_unclassified	0	0	0	3
o__SHA-20_unclassified	1	0	3	0
o__SJA-15_unclassified	0	0	0	13
o__WCHB1-50_unclassified	6	3	0	1
o__envOPS12_unclassified	2	3	0	12
o__pLW-97_unclassified	0	4	0	0
c__C0119_unclassified	10	8	0	0
c__Chloroflexi_unclassified	0	1	0	0
f__[Kouleothrixaceae]_unclassified	26	18	0	7
o__[Roseiflexales]_unclassified	2	1	0	0
f__Dehalococcoidaceae_unclassified	0	0	1	0
c__Ellin6529_unclassified	10	18	1	68
c__Gitt-GS-136_unclassified	6	2	0	3
c__Ktedonobacteria_unclassified	74	61	0	10
o__B12-WMSP1_unclassified	14	2	0	1
o__Elev-1554_unclassified	0	1	0	0
o__JG30-KF-AS9_unclassified	10	22	0	10
f__Ktedonobacteraceae_unclassified	9	9	0	1
g__FFCH10602_unclassified	32	68	0	12
s__racemifer	1	0	0	0
f__Thermogemmatisporaceae_unclassified	244	129	0	12
c__P2-11E_unclassified	15	34	0	0
c__S085_unclassified	8	10	1	12
c__SAR202_unclassified	0	1	0	2
f__5B-12_unclassified	14	11	0	6
f__Dolo_23_unclassified	3	12	0	2
f__FFCH4570_unclassified	30	14	0	0
o__B07_WMSP1_unclassified	111	60	0	14
c__TK17_unclassified	0	1	0	0
o__mle1-48_unclassified	0	0	1	0
c__Thermomicrobia_unclassified	0	0	0	2
o__AKYG1722_unclassified	1	0	1	2
o__Ellin6537_unclassified	1	0	0	0
o__JG30-KF-CM45_unclassified	0	1	0	1
o__Sphaerobacterales_unclassified	0	0	1	0
p__Chloroflexi_unclassified	29	35	10	22
o__MLE1-12_unclassified	4	19	0	26
o__SM1D11_unclassified	1	3	0	0
o__YS2_unclassified	0	2	0	1
c__Chloroplast_unclassified	0	0	1	1
o__Euglenozoa_unclassified	0	0	0	1
o__Stramenopiles_unclassified	0	1	2	0
o__Streptophyta_unclassified	3	4	0	12
c__ML635J-21_unclassified	2	1	0	4
f__Nostocaceae_unclassified	0	1	0	3
c__Oscillatoriophycideae_unclassified	0	1	1	0
f__Phormidiaceae_unclassified	0	0	0	2
f__Pseudanabaenaceae_unclassified	0	0	1	0
g__Halomicronema_unclassified	0	0	1	0
p__Cyanobacteria_unclassified	2	3	5	3
f__Deferribacteraceae_unclassified	0	0	2	0
g__Deferribacter_unclassified	1	0	19	0
c__Elusimicrobia_unclassified	2	1	0	1
o__Elusimicrobiales_unclassified	2	8	0	6
o__FAC88_unclassified	33	9	0	19
o__IIb_unclassified	12	8	0	8
o__MVP-88_unclassified	1	4	0	3
c__Endomicrobia_unclassified	0	2	0	1
p__Elusimicrobia_unclassified	0	1	0	0
p__FBP_unclassified	1	0	0	0
p__FCPU426_unclassified	0	0	1	2
o__258ds10_unclassified	0	1	1	0
f__TSCOR003-O20_unclassified	0	0	5	5
c__Bacilli_unclassified	1	0	4	1
g__Alicyclobacillus_unclassified	6	6	14	7
f__Bacillaceae_unclassified	5	2	8	3
g__Bacillus_unclassified	21	14	5	6
g__Geobacillus_unclassified	1	0	0	0
f__Paenibacillaceae_unclassified	0	1	2	0
g__Ammoniphilus_unclassified	2	3	12	2
g__Aneurinibacillus_unclassified	0	2	0	0
g__Brevibacillus_unclassified	1	0	1	0
g__Cohnella_unclassified	1	1	0	0
g__Paenibacillus_unclassified	7	5	2	3
f__Planococcaceae_unclassified	2	4	0	0
s__massiliensis	36	16	3	29
f__Sporolactobacillaceae_unclassified	0	0	1	0
g__Pullulanibacillus_unclassified	0	0	1	2
f__Thermoactinomycetaceae_unclassified	1	3	0	1
g__Planifilum_unclassified	2	1	1	0
g__Shimazuella_unclassified	1	0	0	0
o__Bacillales_unclassified	21	29	50	20
f__Haloplasmataceae_unclassified	0	0	17	0
s__contractile	0	0	1	0
g__Turicibacter_unclassified	3	0	0	0
c__Clostridia_unclassified	0	0	15	4
g__Caldicoprobacter_unclassified	1	0	0	0
f__Christensenellaceae_unclassified	0	0	1	1
f__Clostridiaceae_unclassified	1	1	3	0
g__Caloramator_unclassified	2	1	1	0
g__Clostridiisalibacter_unclassified	0	0	4	0
g__Clostridium_unclassified	0	15	10	7
g__SMB53_unclassified	1	0	0	0
f__EtOH8_unclassified	0	0	2	0
f__Lachnospiraceae_unclassified	1	1	0	1
g__Desulfitobacter_unclassified	0	0	3	0
s__meridiei	0	0	0	1
g__Desulfotomaculum_unclassified	0	0	1	1
g__Desulfotomaculum_Desulfovirgula_unclassified	0	0	0	1
g__Sporotomaculum_unclassified	0	0	2	0
g__WCHB1-84_unclassified	1	0	0	0
f__Peptostreptococcaceae_unclassified	1	0	0	0
s__ruminantium	0	0	1	0
s__glycolicum	0	1	0	0
f__Ruminococcaceae_unclassified	1	4	11	6
s__termitidis	0	0	0	2
g__Symbiobacterium_unclassified	0	0	1	0
f__Veillonellaceae_unclassified	0	1	0	2
g__BSV43_unclassified	0	1	0	0
g__Sporomusa_unclassified	0	0	1	0
o__Clostridiales_unclassified	8	4	16	8
f__Halanaerobiaceae_unclassified	0	0	36	1
g__Halanaerobium_unclassified	0	0	2	0
s__cellulolsilytica	0	0	1	0
f__Halobacteroidaceae_unclassified	0	0	1	0
