	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_3124_5.txt	3124	5	139.0	76.0	96.0	87.0	36.0	48.0
alpha_rarefaction_3124_6.txt	3124	6	140.0	78.0	91.0	84.0	36.0	43.0
alpha_rarefaction_3124_7.txt	3124	7	142.0	78.0	85.0	85.0	35.0	43.0
alpha_rarefaction_3124_8.txt	3124	8	141.0	81.0	97.0	84.0	37.0	45.0
alpha_rarefaction_3124_9.txt	3124	9	141.0	79.0	92.0	85.0	35.0	45.0
alpha_rarefaction_3470_0.txt	3470	0	146.0	77.0	93.0	87.0	37.0	51.0
alpha_rarefaction_3470_1.txt	3470	1	141.0	76.0	91.0	88.0	37.0	52.0
alpha_rarefaction_3470_2.txt	3470	2	145.0	79.0	90.0	88.0	37.0	44.0
alpha_rarefaction_3470_3.txt	3470	3	142.0	79.0	97.0	88.0	37.0	52.0
alpha_rarefaction_3470_4.txt	3470	4	144.0	78.0	96.0	88.0	37.0	45.0
alpha_rarefaction_3470_5.txt	3470	5	149.0	79.0	89.0	88.0	37.0	55.0
alpha_rarefaction_3470_6.txt	3470	6	143.0	77.0	105.0	87.0	36.0	46.0
alpha_rarefaction_3470_7.txt	3470	7	143.0	80.0	100.0	88.0	37.0	51.0
alpha_rarefaction_3470_8.txt	3470	8	145.0	79.0	100.0	87.0	37.0	53.0
alpha_rarefaction_3470_9.txt	3470	9	145.0	79.0	101.0	88.0	37.0	45.0
