OTU	Test-Statistic	P	FDR_P	Bonferroni_P	MN_mean	MT_mean	TL_mean	SM_mean	TC_mean	TA_mean	taxonomy
148706	15.3427672956	0.00899388442122	0.0612555424505	1.0	44.0	0.0	0.0	0.0	65.0	405.666666667	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__; s__
New.ReferenceOTU43	15.3285818713	0.00904686132941	0.0612555424505	1.0	56.6666666667	0.0	0.666666666667	0.0	11.0	99.3333333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio; s__
134668	15.3063511831	0.00913049437721	0.0612555424505	1.0	138.333333333	0.0	0.0	0.0	1.33333333333	259.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__
New.ReferenceOTU21	15.3063511831	0.00913049437721	0.0612555424505	1.0	27.3333333333	0.0	0.0	0.0	6.0	149.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__
New.CleanUp.ReferenceOTU67	15.2272727273	0.00943412178161	0.0612555424505	1.0	54.3333333333	0.0	4.33333333333	0.0	0.0	0.333333333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__
New.CleanUp.ReferenceOTU12777	15.2071230982	0.00951304167591	0.0612555424505	1.0	0.666666666667	42.0	217.0	9.33333333333	12.3333333333	80.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__
New.CleanUp.ReferenceOTU13795	15.1842456609	0.00960342266884	0.0612555424505	1.0	14.0	0.0	0.0	0.333333333333	31.3333333333	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__; s__
228157	15.1652137817	0.00967924589377	0.0612555424505	1.0	3.66666666667	0.0	0.0	0.0	5.66666666667	19.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio; s__
245029	15.1578327444	0.00970880815633	0.0612555424505	1.0	30.0	0.0	0.0	0.0	48.3333333333	80.3333333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae
4422872	15.0954843158	0.0099620453574	0.0612555424505	1.0	6.33333333333	224.333333333	2125.33333333	102.0	88.3333333333	1018.33333333	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Sediminibacterium; s__
676066	15.0812236287	0.0100208617234	0.0612555424505	1.0	0.0	89.6666666667	59.0	1.33333333333	1.66666666667	17.6666666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__; s__
New.CleanUp.ReferenceOTU12601	15.0223713647	0.0102671750267	0.0612555424505	1.0	1.66666666667	0.0	0.0	0.333333333333	0.0	12.3333333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Colwelliaceae; g__; s__
